english,spanish
you,tú
I,Yo
to,a
the,el
a,a
and,y
that,eso
it,él
of,de
me,a mí
what,qué
is,es
in,en
this,este
know,saber
I'm,Soy
for,para
no,No
have,tener
my,mi
don't,no
just,justo
not,no
do,hacer
be,ser
on,en
your,su
was,era
we,nosotros
it's,es
with,con
so,entonces
but,pero
all,todo
well,Bueno
are,son
he,él
oh,Vaya
about,acerca de
right,bien
you're,estás
get,conseguir
here,aquí
out,afuera
going,yendo
like,como
yeah,sí
if,si
her,su
she,ella
can,poder
up,arriba
want,desear
think,pensar
that's,eso es
now,ahora
go,ir
him,a él
at,en
how,cómo
got,consiguió
there,allá
one,uno
did,hizo
why,por qué
see,ver
come,venir
good,bien
they,ellos
really,en realidad
as,como
would,quería
look,mirar
when,cuando
time,tiempo
will,voluntad
okay,bueno
back,atrás
can't,no poder
mean,significar
tell,decir
I'll,Enfermo
from,de
hey,ey
were,eran
he's,el es
could,podría
didn't,no
yes,Sí
his,su
been,estado
or,o
something,algo
who,OMS
because,porque
some,alguno
had,tenía
then,entonces
say,decir
ok,OK
take,llevar
an,un
way,forma
us,a nosotros
little,pequeño
make,hacer
need,necesidad
gonna,ir a
never,nunca
we're,eran
too,también
love,amar
she's,ella es
I've,he
sure,seguro
them,a ellos
more,más
over,encima
our,nuestro
sorry,Lo siento
where,dónde
what's,qué
let,dejar
thing,cosa
am,soy
maybe,tal vez
down,abajo
man,hombre
has,tiene
uh,oh
very,muy
by,por
there's,hay
should,debería
anything,cualquier cosa
said,dicho
much,mucho
any,cualquier
life,vida
even,incluso
off,apagado
please,por favor
doing,haciendo
thank,agradecer
give,dar
only,solo
thought,pensamiento
help,ayuda
two,dos
talk,hablar
people,gente
god,dios
still,aún
wait,esperar
into,en
find,encontrar
nothing,nada
again,de nuevo
things,cosas
let's,vamos
doesn't,no
call,llamar
told,dijo
great,excelente
before,antes
better,mejor
ever,alguna vez
night,noche
than,que
away,lejos
first,primero
believe,creer
other,otro
feel,sentir
everything,todo
work,trabajar
you've,tu has
fine,bien
home,hogar
after,después
last,último
these,estos
day,día
keep,mantener
does,hace
put,poner
around,alrededor
stop,detener
they're,ellos son
I'd,Identificación
guy,chico
long,largo
isn't,no es
always,siempre
listen,escuchar
wanted,buscado
Mr .,Señor .
guys,tipo
huh,eh
those,aquellos
big,grande
lot,lote
happened,sucedió
thanks,gracias
won't,no
trying,intentando
kind,amable
wrong,equivocado
through,a través de
talking,hablando
made,hecho
new,nuevo
being,ser
guess,adivinar
hi,Hola
care,cuidado
bad,malo
mom,mamá
remember,recordar
getting,conseguir
we'll,Bueno
together,juntos
dad,papá
leave,dejar
mother,madre
place,lugar
understand,entender
wouldn't,no lo haría
actually,de hecho
hear,escuchar
baby,bebé
nice,lindo
father,padre
else,demás
stay,permanecer
done,hecho
wasn't,no fue
their,su
course,curso
might,podría
mind,mente
every,cada
enough,suficiente
try,intentar
hell,infierno
came,vino
someone,alguien
you'll,tu lo harás
own,propio
family,familia
whole,entero
another,otro
house,casa
Jack,Jacobo
yourself,tú mismo
idea,idea
ask,preguntar
best,mejor
must,debe
coming,próximo
old,viejo
looking,mirando
woman,mujer
hello,Hola
which,cual
years,años
room,habitación
money,dinero
left,izquierda
knew,sabía
tonight,esta noche
real,real
son,hijo
hope,esperanza
name,nombre
same,mismo
went,fue
um,mmm
hmm,Mmm
happy,feliz
pretty,bonito
saw,sierra
girl,chica
sir,Señor
show,espectáculo
friend,amigo
already,ya
saying,dicho
may,puede
next,próximo
three,tres
job,trabajo
problem,problema
minute,minuto
found,encontró
world,mundo
thinking,pensamiento
haven't,no lo he hecho
heard,escuchó
honey,Miel
matter,asunto
myself,mí mismo
couldn't,no pude
exactly,exactamente
having,teniendo
ah,ah
probably,probablemente
happen,suceder
we've,hemos
hurt,herir
boy,chico
both,ambos
while,mientras
dead,muerto
gotta,tengo que
alone,solo
since,desde
excuse,disculpar
start,comenzar
kill,matar
hard,duro
you'd,tu lo harías
today,hoy
car,auto
ready,listo
until,hasta
without,sin
whatever,lo que
wants,quiere
hold,sostener
wanna,querer
yet,todavía
seen,visto
deal,trato
took,tomó
once,una vez
gone,desaparecido
called,llamado
morning,mañana
supposed,supuesto
friends,amigos
head,cabeza
stuff,cosa
most,mayoría
used,usado
worry,preocuparse
second,segundo
part,parte
live,vivir
truth,verdad
school,escuela
face,rostro
forget,olvidar
TRUE,VERDADERO
business,negocio
each,cada
cause,causa
soon,pronto
knows,sabe
few,pocos
telling,narración
wife,esposa
who's,quien es
use,usar
chance,oportunidad
run,correr
move,mover
anyone,alguien
person,persona
bye,adiós
J,j
somebody,alguien
Dr,Dr
heart,corazón
such,semejante
miss,extrañar
married,casado
point,punto
later,más tarde
making,haciendo
meet,encontrarse
anyway,de todos modos
many,muchos
phone,teléfono
reason,razón
damn,maldición
lost,perdido
looks,aspecto
bring,traer
case,caso
turn,doblar
wish,desear
tomorrow,mañana
kids,niños
trust,confianza
check,controlar
change,cambiar
end,fin
late,tarde
anymore,ya no
five,cinco
least,el menos
town,ciudad
aren't,no lo son
ha,Ja
working,laboral
year,año
makes,marcas
taking,tomando
means,medio
brother,hermano
play,jugar
hate,odiar
ago,atrás
says,dice
beautiful,hermoso
gave,dio
fact,hecho
crazy,loco
party,fiesta
sit,sentarse
open,abierto
afraid,asustado
between,entre
important,importante
rest,descansar
fun,divertido
kid,niño
word,palabra
watch,mirar
glad,contento
everyone,todos
days,días
sister,hermana
minutes,minutos
everybody,todos
bit,poco
couple,pareja
whoa,Vaya
either,cualquiera
Mrs .,Señora .
feeling,sentimiento
daughter,hija
wow,Guau
gets,obtiene
asked,preguntó
under,bajo
break,romper
promise,promesa
door,puerta
set,colocar
close,cerca
hand,mano
easy,fácil
question,pregunta
doctor,doctor
tried,intentó
far,lejos
walk,caminar
needs,necesidades
trouble,problema
mine,mío
though,aunque
times,veces
different,diferente
killed,delicado
hospital,hospital
anybody,cualquiera
Sam,Sam
alright,está bien
wedding,boda
shut,cerrar
able,capaz
die,morir
perfect,perfecto
police,policía
stand,pararse
comes,llega
hit,golpear
story,historia
ya,ya
mm,milímetros
waiting,espera
dinner,cena
against,contra
funny,divertido
husband,marido
almost,casi
stupid,estúpido
pay,pagar
answer,respuesta
four,cuatro
office,oficina
cool,Frío
eyes,ojos
news,noticias
child,niño
shouldn't,no debería
half,medio
side,lado
